id,race_id,bet_type,combination,payout,date
308520,202606010210,複勝,10,100000,2026-01-05
308601,202608010206,複勝,10,600000,2026-01-05
309850,202608010712,複勝,10,300000,2026-01-18
314359,202610010603,複勝,10,1100000,2026-02-08
315538,202609010103,複勝,10,900000,2026-02-21
315996,202610011001,複勝,10,200000,2026-02-22
325289,202606030309,複勝,10,1200000,2026-04-04
