id,race_id,bet_type,combination,payout
314824,202608020503,単勝,11,11000
314834,202608020504,単勝,16,16000
314844,202608020505,単勝,16,14000
314855,202608020506,単勝,17,17000
314865,202608020507,単勝,15,15000
314875,202608020508,単勝,13,13000
314885,202608020509,単勝,11,11000
314895,202608020510,単勝,16,16000
314905,202608020511,単勝,14,14000
314914,202608020512,単勝,15,15000
314924,202610010701,単勝,16,16000
314934,202610010702,単勝,18,18000
314944,202610010703,単勝,14,14000
314954,202610010704,単勝,12,12000
314964,202610010705,単勝,18,18000
314974,202610010706,単勝,18,18000
314984,202610010707,単勝,16,16000
314994,202610010708,単勝,13,13000
315004,202610010709,単勝,10,10000
315014,202610010710,単勝,14,14000
315024,202610010711,単勝,18,18000
315034,202610010712,単勝,15,15000
315044,202605010601,単勝,16,16000
315054,202605010602,単勝,13,13000
315064,202605010603,単勝,16,16000
315074,202605010604,単勝,13,13000
315084,202605010605,単勝,16,16000
315094,202605010606,単勝,14,14000
315103,202605010607,単勝,16,16000
315113,202605010608,単勝,14,14000
315122,202605010609,単勝,16,16000
315132,202605010610,単勝,16,16000
315142,202605010611,単勝,9,9000
315152,202605010612,単勝,16,16000
315161,202608020601,単勝,10,10000
315171,202608020602,単勝,12,11000
315182,202608020603,単勝,16,16000
315192,202608020604,単勝,9,9000
315202,202608020605,単勝,15,15000
315212,202608020606,単勝,18,18000
315222,202608020607,単勝,13,13000
315232,202608020608,単勝,12,12000
315242,202608020609,単勝,11,11000
315252,202608020610,単勝,10,10000
315262,202608020611,単勝,12,12000
315272,202608020612,単勝,16,16000
315282,202610010801,単勝,16,16000
315292,202610010802,単勝,18,18000
315301,202610010803,単勝,14,14000
315311,202610010804,単勝,12,12000
315321,202610010805,単勝,16,16000
315331,202610010806,単勝,16,16000
315341,202610010807,単勝,14,14000
315351,202610010808,単勝,15,15000
315361,202610010809,単勝,7,7000
315369,202610010810,単勝,18,18000
315379,202610010811,単勝,18,18000
315389,202610010812,単勝,13,13000
315399,202605010701,単勝,16,16000
315409,202605010702,単勝,16,16000
315419,202605010703,単勝,16,16000
315429,202605010704,単勝,16,16000
315439,202605010705,単勝,14,14000
315449,202605010706,単勝,16,16000
315459,202605010707,単勝,16,16000
315469,202605010708,単勝,12,12000
315479,202605010709,単勝,7,7000
315487,202605010710,単勝,16,16000
315497,202605010711,単勝,15,15000
315506,202605010712,単勝,16,16000
315516,202609010101,単勝,16,16000
315526,202609010102,単勝,14,14000
315536,202609010103,単勝,16,15000
315548,202609010104,単勝,14,14000
315558,202609010105,単勝,18,18000
315568,202609010106,単勝,11,11000
315578,202609010107,単勝,16,16000
315588,202609010108,単勝,7,7000
315596,202609010109,単勝,18,18000
315606,202609010110,単勝,16,16000
315616,202609010111,単勝,18,18000
315626,202609010112,単勝,15,13000
315637,202610010901,単勝,14,14000
315646,202610010902,単勝,18,18000
315656,202610010903,単勝,14,14000
315665,202610010904,単勝,12,12000
315675,202610010905,単勝,12,12000
315685,202610010906,単勝,16,16000
