id,race_id,bet_type,combination,payout,popularity
568520,202509050304,単勝,12,12000,
568721,202506050409,単勝,12,12000,
568853,202507050408,単勝,16,16000,
568971,202509050406,単勝,7,7000,
569101,202506050505,単勝,17,17000,
569425,202509050508,単勝,13,13000,
569532,202506050605,単勝,16,16000,
569592,202506050610,単勝,15,15000,
569928,202506050702,単勝,16,16000,
570048,202506050712,単勝,14,14000,
570132,202509050707,単勝,15,15000,
570156,202509050709,単勝,10,10000,
570204,202506050801,単勝,16,16000,
570420,202509050807,単勝,16,16000,
587628,202504010101,単勝,14,14000,
587636,202504010102,単勝,15,15000,
587654,202504010104,単勝,14,14000,
587672,202504010106,単勝,16,16000,
587680,202504010107,単勝,11,11000,
587697,202504010109,単勝,15,15000,
587707,202504010110,単勝,10,10000,
587716,202504010111,単勝,15,15000,
587723,202504010112,単勝,16,16000,
587731,202505020301,単勝,16,16000,
587738,202505020302,単勝,16,16000,
587746,202505020303,単勝,14,14000,
587754,202505020304,単勝,12,12000,
587762,202505020305,単勝,9,9000,
587770,202505020306,単勝,6,6000,
587777,202505020307,単勝,16,16000,
587785,202505020308,単勝,7,7000,
587792,202505020309,単勝,16,16000,
587800,202505020310,単勝,13,13000,
587808,202505020311,単勝,12,12000,
587816,202505020312,単勝,14,14000,
587834,202508020302,単勝,16,16000,
587851,202508020304,単勝,16,16000,
587859,202508020305,単勝,12,12000,
587876,202508020307,単勝,8,8000,
587883,202508020308,単勝,14,14000,
587891,202508020309,単勝,6,6000,
587897,202508020310,単勝,8,8000,
587904,202508020311,単勝,13,13000,
587912,202508020312,単勝,16,16000,
587921,202504010201,単勝,16,16000,
587928,202504010202,単勝,15,15000,
587936,202504010203,単勝,15,15000,
587944,202504010204,単勝,14,14000,
587952,202504010205,単勝,16,16000,
587961,202504010206,単勝,12,12000,
587970,202504010207,単勝,14,14000,
587979,202504010208,単勝,9,9000,
587997,202504010210,単勝,16,16000,
588006,202504010211,単勝,15,15000,
588016,202504010212,単勝,13,13000,
588024,202505020401,単勝,15,15000,
588033,202505020402,単勝,16,16000,
588041,202505020403,単勝,16,16000,
588049,202505020404,単勝,15,15000,
588068,202505020406,単勝,16,16000,
588077,202505020407,単勝,10,10000,
588087,202505020408,単勝,9,9000,
588095,202505020409,単勝,13,13000,
588103,202505020410,単勝,16,16000,
588112,202505020411,単勝,14,14000,
588121,202505020412,単勝,16,16000,
588131,202508020401,単勝,16,16000,
588140,202508020402,単勝,14,14000,
588148,202508020403,単勝,18,18000,
588157,202508020404,単勝,13,13000,
588164,202508020405,単勝,15,15000,
588172,202508020406,単勝,7,7000,
588187,202508020408,単勝,7,7000,
588193,202508020409,単勝,10,10000,
588201,202508020410,単勝,13,13000,
588209,202508020411,単勝,15,15000,
588225,202504010301,単勝,14,14000,
588233,202504010302,単勝,15,15000,
588242,202504010303,単勝,15,15000,
588269,202504010306,単勝,16,16000,
588277,202504010307,単勝,11,11000,
588292,202504010309,単勝,8,8000,
588300,202504010310,単勝,15,15000,
588318,202504010312,単勝,14,14000,
588326,202505020501,単勝,16,16000,
588334,202505020502,単勝,14,14000,
588342,202505020503,単勝,15,15000,
588350,202505020504,単勝,8,8000,
588357,202505020505,単勝,16,16000,
588365,202505020506,単勝,9,9000,
588372,202505020507,単勝,16,16000,
588380,202505020508,単勝,12,12000,
588388,202505020509,単勝,15,15000,
588397,202505020510,単勝,11,11000,
588405,202505020511,単勝,18,18000,
