11:02:26 INFO src.database.init_db: マイグレーション: v_race_mart ビューを再作成しました
11:02:26 INFO src.database.init_db: DB 初期化完了: C:\dev\horse-racing-ai\data\umalogi.db
11:02:26 INFO __main__: 払戻未取得レース: 910 件 (year=2026)
払戻取得:   4%|3         | 35/910 [01:41<41:53,  2.87s/race, empty=0, err=0, saved=35]11:04:10 INFO src.database.init_db: 払戻保存: race_id=202606010212, 12 件
払戻取得:   4%|3         | 36/910 [01:44<42:26,  2.91s/race, empty=0, err=0, saved=36]11:04:13 INFO src.database.init_db: 払戻保存: race_id=202608010201, 12 件
払戻取得:   4%|4         | 37/910 [01:47<41:48,  2.87s/race, empty=0, err=0, saved=37]11:04:16 INFO src.database.init_db: 払戻保存: race_id=202608010202, 12 件
払戻取得:   4%|4         | 38/910 [01:50<41:36,  2.86s/race, empty=0, err=0, saved=38]11:04:19 INFO src.database.init_db: 払戻保存: race_id=202608010203, 12 件
払戻取得:   4%|4         | 39/910 [01:52<41:45,  2.88s/race, empty=0, err=0, saved=39]11:04:21 INFO src.database.init_db: 払戻保存: race_id=202608010204, 12 件
払戻取得:   4%|4         | 40/910 [01:55<41:22,  2.85s/race, empty=0, err=0, saved=40]11:04:24 INFO src.database.init_db: 払戻保存: race_id=202608010205, 12 件
払戻取得:   5%|4         | 41/910 [01:58<41:19,  2.85s/race, empty=0, err=0, saved=41]11:04:27 INFO src.database.init_db: 払戻保存: race_id=202608010206, 12 件
払戻取得:   5%|4         | 42/910 [02:01<41:26,  2.87s/race, empty=0, err=0, saved=42]11:04:30 INFO src.database.init_db: 払戻保存: race_id=202608010207, 12 件
払戻取得:   5%|4         | 43/910 [02:04<41:17,  2.86s/race, empty=0, err=0, saved=43]11:04:33 INFO src.database.init_db: 払戻保存: race_id=202608010208, 12 件
払戻取得:   5%|4         | 44/910 [02:07<41:17,  2.86s/race, empty=0, err=0, saved=44]11:04:36 INFO src.database.init_db: 払戻保存: race_id=202608010209, 12 件
払戻取得:   5%|4         | 45/910 [02:10<41:36,  2.89s/race, empty=0, err=0, saved=45]11:04:39 INFO src.database.init_db: 払戻保存: race_id=202608010210, 12 件
払戻取得:   5%|5         | 46/910 [02:13<41:40,  2.89s/race, empty=0, err=0, saved=46]11:04:42 INFO src.database.init_db: 払戻保存: race_id=202608010211, 12 件
払戻取得:   5%|5         | 47/910 [02:16<42:07,  2.93s/race, empty=0, err=0, saved=47]11:04:45 INFO src.database.init_db: 払戻保存: race_id=202608010212, 12 件
払戻取得:   5%|5         | 48/910 [02:19<42:14,  2.94s/race, empty=0, err=0, saved=48]11:04:48 INFO src.database.init_db: 払戻保存: race_id=202606010301, 12 件
払戻取得:   5%|5         | 49/910 [02:22<42:25,  2.96s/race, empty=0, err=0, saved=49]11:04:51 INFO src.database.init_db: 払戻保存: race_id=202606010302, 12 件
払戻取得:   5%|5         | 50/910 [02:25<42:45,  2.98s/race, empty=0, err=0, saved=50]11:04:54 INFO src.database.init_db: 払戻保存: race_id=202606010303, 12 件
払戻取得:   6%|5         | 51/910 [02:27<42:19,  2.96s/race, empty=0, err=0, saved=51]11:04:57 INFO src.database.init_db: 払戻保存: race_id=202606010304, 12 件
払戻取得:   6%|5         | 52/910 [02:30<42:04,  2.94s/race, empty=0, err=0, saved=52]11:04:59 INFO src.database.init_db: 払戻保存: race_id=202606010305, 12 件
払戻取得:   6%|5         | 53/910 [02:33<41:58,  2.94s/race, empty=0, err=0, saved=53]11:05:02 INFO src.database.init_db: 払戻保存: race_id=202606010306, 12 件
払戻取得:   6%|5         | 54/910 [02:36<42:08,  2.95s/race, empty=0, err=0, saved=54]11:05:06 INFO src.database.init_db: 払戻保存: race_id=202606010307, 12 件
払戻取得:   6%|6         | 55/910 [02:39<42:56,  3.01s/race, empty=0, err=0, saved=55]11:05:09 INFO src.database.init_db: 払戻保存: race_id=202606010308, 12 件
払戻取得:   6%|6         | 56/910 [02:42<42:51,  3.01s/race, empty=0, err=0, saved=56]11:05:12 INFO src.database.init_db: 払戻保存: race_id=202606010309, 12 件
払戻取得:   6%|6         | 57/910 [02:45<42:56,  3.02s/race, empty=0, err=0, saved=57]11:05:15 INFO src.database.init_db: 払戻保存: race_id=202606010310, 12 件
